sample_index,label,nearest_neighbor_index,nearest_neighbor_label,nearest_neighbor_distance,same_label
184,61,991,64,0.105113246,False
185,81,1072,5,0.028309787,False
186,69,57,97,0.031557478,False
187,11,23,77,0.029847128,False
188,7,1765,99,0.03196658,False
189,33,1501,97,0.043935817,False
190,65,605,47,0.040881712,False
191,15,1538,100,0.03064524,False
192,63,1179,46,0.04508875,False
193,57,1202,51,0.017907344,False
194,41,433,33,0.010483843,False
195,16,515,100,0.08966312,False
196,63,1859,86,0.03255961,False
197,44,640,89,0.02840857,False
198,64,832,61,0.028368678,False
199,53,475,89,0.047605544,False
200,78,1656,54,0.012732817,False
201,51,1981,37,0.6754625,False
202,12,320,48,0.03667314,False
203,89,582,95,0.03346241,False
204,38,455,17,0.044199567,False
205,54,722,17,0.033079028,False
206,50,361,20,0.04954912,False
207,16,1629,57,0.022169797,False
208,69,1735,40,0.037192803,False
209,70,442,94,0.057262298,False
210,6,1785,50,0.04916631,False
211,41,1541,95,0.035301756,False
212,62,1486,9,0.051968127,False
213,16,1195,74,0.011419937,False
214,44,796,50,0.012643562,False
215,66,1106,17,0.019503765,False
216,41,628,3,0.024666661,False
217,93,1325,8,0.037064373,False
218,83,1284,88,0.030889338,False
219,81,1536,41,0.051399574,False
220,9,734,83,0.026862126,False
221,2,32,25,0.033485558,False
222,4,1061,5,0.011779627,False
223,28,1181,0,0.014118,False
224,62,486,16,0.059284464,False
225,23,1475,15,0.03572137,False
226,60,1523,62,0.06570332,False
227,41,1158,83,0.018948836,False
228,40,277,95,0.058187474,False
229,20,1622,43,0.049558744,False
230,35,391,38,0.046198737,False
231,66,261,44,0.059903573,False
232,32,1646,97,0.05570474,False
233,27,4,85,0.015517821,False
234,55,616,23,0.0148143275,False
235,86,816,14,0.038478296,False
236,5,892,37,0.06540782,False
237,32,883,20,0.12415361,False
238,54,1747,94,0.05267783,False
239,47,1714,84,0.07405796,False
240,64,90,39,0.13879904,False
241,67,800,48,0.023063214,False
242,19,1491,20,0.031538583,False
243,44,450,40,0.03425981,False
244,9,285,40,0.021677708,False
245,80,1802,91,0.043336164,False
246,12,1893,50,0.03997649,False
247,34,735,33,0.048828125,False
248,7,1114,63,0.042957652,False
249,18,1792,1,0.080048345,False
250,59,1708,86,0.21272705,False
251,33,590,85,0.03632038,False
252,68,574,40,0.06960706,False
253,88,472,52,0.027629988,False
254,57,1188,12,0.015467807,False
255,14,1288,42,0.13305059,False
256,29,357,77,0.03323004,False
257,56,285,40,0.021250054,False
258,1,777,59,0.02920926,False
259,80,166,11,0.21631466,False
260,2,778,88,0.009630412,False
261,44,914,66,0.04046258,False
262,5,1399,42,0.054610062,False
263,58,586,11,0.021677708,False
264,44,844,32,0.052806664,False
265,79,1045,88,0.028219108,False
266,28,826,50,0.08300925,False
267,35,200,78,0.027763415,False
268,68,525,49,0.08074082,False
269,63,133,52,0.05893253,False
270,44,848,81,0.04250011,False
271,67,1576,17,0.17659655,False
272,85,720,21,0.06322441,False
273,97,1936,71,0.052646138,False
274,93,650,84,0.10655836,False
275,11,397,50,0.05931562,False
276,58,513,94,0.047854055,False
277,95,228,40,0.058187474,False
278,67,1680,99,0.033857297,False
279,57,1807,96,0.013584402,False
280,52,903,86,0.046489403,False
281,0,581,40,0.10802388,False
282,21,1035,38,0.038581945,False
283,35,775,34,0.014624003,False
284,94,1622,43,0.040916685,False
285,40,257,56,0.021250054,False
286,77,268,68,0.082229376,False
287,13,470,26,0.03696776,False
288,15,341,55,0.029194973,False
289,78,547,46,0.019260824,False
290,24,1887,1,0.034298066,False
291,12,1131,38,0.047370832,False
292,64,1729,81,0.090748094,False
293,9,11,62,0.051129833,False
294,20,1798,21,0.11266184,False
295,43,1951,78,0.018522536,False
296,92,1861,53,0.037218437,False
297,49,301,92,0.049868077,False
298,84,532,97,0.032510146,False
299,19,655,2,0.03959898,False
300,24,565,21,0.0342859,False
301,92,174,36,0.04134563,False
302,68,1426,40,0.031570695,False
303,80,126,6,0.035967473,False
304,78,1028,35,0.036407255,False
305,52,1122,98,0.036755938,False
306,92,1477,22,0.06582658,False
307,26,1936,71,0.04886961,False
308,73,1294,27,0.04974122,False
309,59,589,29,0.017435128,False
310,24,1384,29,0.05333006,False
311,94,1897,20,0.087615535,False
312,2,1627,11,0.050126772,False
313,93,398,80,0.04392632,False
314,93,331,56,0.024837634,False
315,90,925,17,0.031727012,False
316,74,1803,41,0.03643671,False
317,41,1973,16,0.045789223,False
318,97,208,69,0.0411853,False
319,25,610,53,0.094606936,False
320,48,1568,99,0.035139292,False
321,55,601,94,0.029237814,False
322,15,800,48,0.035876215,False
323,68,1019,63,0.046303123,False
324,76,1659,30,0.022865957,False
325,23,1216,75,0.020279843,False
326,4,932,50,0.086173,False
327,49,398,80,0.03546011,False
328,0,1267,91,0.035349,False
329,63,582,95,0.03672998,False
330,52,1239,59,0.023845928,False
331,56,314,93,0.024825633,False
332,90,82,35,0.044765033,False
333,16,788,42,0.01133612,False
334,57,1626,1,0.017252987,False
335,22,1159,76,0.043156993,False
336,74,970,78,0.10722305,False
337,22,681,16,0.03173828,False
338,27,154,38,0.037077237,False
339,69,420,12,0.032856647,False
340,71,1105,87,0.031970307,False
341,55,288,15,0.029194973,False
342,22,1047,31,0.06451413,False
343,59,993,3,0.026360406,False
344,13,747,54,0.12926088,False
345,72,1051,79,0.055619072,False
346,93,48,98,0.032048512,False
347,7,248,7,0.061459463,True
348,24,876,22,0.076354764,False
349,82,1180,64,0.03268203,False
350,47,939,9,0.016428323,False
351,36,1470,22,0.041238815,False
352,54,1822,93,0.038976956,False
353,83,681,16,0.053449515,False
354,65,1687,77,0.03256876,False
355,18,198,64,0.03358509,False
356,23,1353,76,0.027539236,False
357,77,1901,37,0.030561492,False
358,29,960,46,0.029656805,False
359,25,1650,38,0.05479747,False
360,77,1217,52,0.007993508,False
361,20,928,74,0.031523462,False
362,92,322,15,0.047100794,False
363,86,615,58,0.04000332,False
364,7,186,69,0.045014657,False
365,36,1085,82,0.04019952,False
366,13,653,40,0.05979801,False
367,57,1574,85,0.054898538,False
368,80,1072,5,0.03733037,False
369,59,711,15,0.036715373,False
370,17,130,89,0.06624269,False
371,93,38,61,0.030506834,False
372,82,37,36,0.0991764,False
373,21,1388,95,0.036405616,False
374,37,793,57,0.1693604,False
375,43,804,7,0.024816027,False
376,39,1370,12,0.034218032,False
377,44,1092,96,0.08915914,False
378,68,648,71,0.043192886,False
379,18,861,76,0.02180929,False
380,76,1607,100,0.052702717,False
381,4,929,58,0.05304092,False
382,56,762,33,0.075390846,False
383,25,1965,59,0.1643663,False
384,78,1199,44,0.033206716,False
385,43,1525,24,0.03983609,False
386,5,513,94,0.041767318,False
387,6,915,37,0.051242784,False
388,34,713,43,0.01916154,False
389,91,523,94,0.047262497,False
390,85,1092,96,0.06757361,False
391,38,1704,63,0.045280024,False
392,48,583,52,0.016489888,False
393,23,1222,69,0.052295126,False
394,88,1220,46,0.043738663,False
395,13,818,22,0.033859055,False
396,29,4,85,0.007888425,False
397,50,275,11,0.059311602,False
398,80,327,49,0.035471875,False
399,96,657,4,0.03558093,False
400,29,1668,61,0.07137095,False
401,28,1589,3,0.08828646,False
402,0,70,55,0.04800577,False
403,92,412,83,0.05589381,False
404,62,918,14,0.106772386,False
405,22,1139,14,0.048107475,False
406,40,811,78,0.026416874,False
407,60,1768,100,0.04979631,False
408,32,1050,63,0.05981894,False
409,71,1125,84,0.041378774,False
410,76,1820,70,0.031328104,False
411,10,1258,92,0.11519868,False
412,83,369,59,0.041225802,False
413,40,738,20,0.032956272,False
414,85,318,97,0.05819157,False
415,35,975,51,0.05964331,False
416,30,542,18,0.029928893,False
417,23,1439,39,0.033521138,False
418,78,878,27,0.038762275,False
419,100,739,25,0.03429459,False
420,12,34,59,0.032089405,False
421,44,891,8,0.045101967,False
422,46,114,99,0.011565155,False
423,0,1780,23,0.015889784,False
424,82,673,84,0.09273359,False
425,9,612,34,0.062893584,False
426,99,1455,60,0.04851585,False
427,21,1845,66,0.028126018,False
428,26,950,35,0.04546132,False
429,78,1660,84,0.026668383,False
430,100,1696,72,0.10410873,False
431,99,1010,49,0.02240248,False
432,74,947,35,0.0822743,False
433,33,194,41,0.010483843,False
434,37,452,34,0.13208166,False
435,26,849,5,0.0034179688,False
436,2,1795,65,0.041763034,False
437,23,79,53,0.06069338,False
438,69,1441,37,0.13484964,False
439,67,835,60,0.05906387,False
440,95,1609,36,0.043426845,False
441,5,501,39,0.04387201,False
442,94,209,70,0.057266463,False
443,3,494,55,0.11207198,False
444,18,1632,75,0.035664592,False
445,28,744,41,0.024252394,False
446,60,1195,74,0.012900239,False
447,91,877,47,0.07440163,False
448,5,1959,0,0.11112395,False
449,67,1642,40,0.02421304,False
450,40,243,44,0.03425981,False
451,59,49,75,0.0404449,False
452,34,1878,17,0.071911745,False
453,76,1620,82,0.026019024,False
454,6,961,11,0.03358154,False
455,17,1290,73,0.043017272,False
456,16,1302,7,0.04183576,False
457,20,556,58,0.049852535,False
458,39,1200,93,0.047704354,False
459,69,602,6,0.10904753,False
460,86,694,16,0.02370051,False
461,36,1617,93,0.11676764,False
462,12,1736,66,0.03326052,False
463,18,1886,19,0.027190734,False
464,79,463,18,0.03867915,False
465,10,320,48,0.037575454,False
466,42,1559,93,0.07206575,False
467,97,575,53,0.050274003,False
468,78,0,7,0.018775033,False
469,29,68,95,0.027262976,False
470,26,287,13,0.03696776,False
471,33,1600,77,0.053356875,False
472,52,253,88,0.027629988,False
473,72,221,2,0.04005692,False
474,50,132,39,0.044434935,False
475,89,1711,33,0.030567342,False
476,14,571,56,0.030018378,False
477,100,926,84,0.04626062,False
478,45,578,2,0.025123956,False
479,72,865,39,0.09267702,False
480,2,37,36,0.10446366,False
481,68,934,56,0.04561054,False
482,3,1025,21,0.012104058,False
483,36,463,18,0.027313216,False
484,47,923,22,0.023473077,False
485,37,31,43,0.040837947,False
486,16,809,12,0.05527292,False
487,29,17,13,0.038413182,False
488,71,1065,55,0.040823348,False
489,78,160,60,0.050316665,False
490,9,882,2,0.040706377,False
491,72,308,73,0.060501575,False
492,63,1836,66,0.03313484,False
493,27,569,59,0.052166175,False
494,55,727,28,0.09832534,False
495,36,1605,97,0.15027723,False
496,80,1179,46,0.048481435,False
497,74,15,94,0.013549255,False
498,46,1091,88,0.041875634,False
499,9,1054,79,0.06523719,False
500,74,1859,86,0.043395266,False
501,39,1622,43,0.039683178,False
502,39,1736,66,0.037848882,False
503,69,963,29,0.04170162,False
504,19,1450,37,0.035001628,False
505,71,680,63,0.0834011,False
506,47,314,93,0.03217288,False
507,98,853,40,0.055562243,False
508,12,1754,50,0.055256743,False
509,56,984,4,0.06375203,False
510,98,1486,9,0.040475834,False
511,83,1674,95,0.04071809,False
512,57,761,11,0.08080427,False
513,94,290,24,0.038846754,False
514,49,1076,39,0.05824686,False
515,100,813,80,0.038438,False
516,95,54,72,0.04498817,False
517,93,1159,76,0.044655718,False
518,20,7,39,0.03268203,False
519,18,1376,54,0.06414258,False
520,19,1186,86,0.05592579,False
521,93,929,58,0.049340572,False
522,21,1707,29,0.057710215,False
523,94,1162,54,0.034398712,False
524,78,784,56,0.051282316,False
525,49,1862,7,0.055999283,False
526,25,1217,52,0.0082286615,False
527,19,634,16,0.026663912,False
528,13,1922,24,0.044098314,False
529,59,1438,38,0.049716048,False
530,30,1826,40,0.028845811,False
531,77,1820,70,0.048508476,False
532,97,298,84,0.032513812,False
533,12,1952,85,0.026569858,False
534,31,499,9,0.06954537,False
535,0,179,4,0.05438366,False
536,24,673,84,0.123319775,False
537,88,1568,99,0.034674846,False
538,21,1744,5,0.08349466,False
539,41,929,58,0.045823056,False
540,98,1084,11,0.034938563,False
541,52,207,16,0.0460773,False
542,18,416,30,0.029928893,False
543,66,1285,40,0.015433087,False
544,95,1434,68,0.032329973,False
545,97,1137,55,0.039296784,False
546,90,1839,89,0.049921833,False
547,46,289,78,0.019260824,False
548,14,820,4,0.34032607,False
549,12,1413,19,0.05387714,False
550,69,1872,69,0.04746385,True
551,75,509,56,0.08219385,False
552,30,994,30,0.043426845,True
553,85,915,37,0.03670888,False
554,52,1258,92,0.15947522,False
555,47,1564,48,0.035809696,False
556,58,82,35,0.04746762,False
557,61,770,28,0.03516303,False
558,78,609,14,0.014509432,False
559,60,51,44,0.041473735,False
560,92,1298,87,0.010758821,False
561,99,1253,11,0.036733225,False
562,82,582,95,0.030226147,False
563,4,1737,37,0.17271772,False
564,34,1830,62,0.055263214,False
565,21,703,18,0.033613473,False
566,24,874,50,0.10607959,False
567,59,1060,51,0.056752063,False
568,60,931,29,0.02573108,False
569,59,945,4,0.05123697,False
570,59,1125,84,0.039414912,False
571,56,476,14,0.030018378,False
572,87,1255,7,0.03393818,False
573,49,1184,97,0.0585225,False
574,40,410,76,0.035818018,False
575,53,1896,76,0.032420184,False
576,35,1980,12,0.02425731,False
577,14,1641,36,0.025418779,False
578,2,449,67,0.024664246,False
579,21,1148,90,0.004085254,False
580,2,170,87,0.038527835,False
581,40,531,77,0.09074218,False
582,95,562,82,0.030226147,False
583,52,392,48,0.016489888,False
584,50,1817,35,0.028810663,False
585,89,1545,96,0.040223233,False
586,11,263,58,0.021677708,False
587,75,1005,36,0.048620164,False
588,17,476,14,0.045373388,False
589,29,1927,11,0.015979558,False
590,85,1056,12,0.031800196,False
591,78,1113,74,0.023186933,False
592,76,855,36,0.045611847,False
593,44,88,44,0.04290906,True
594,94,1312,56,0.14580122,False
595,2,1869,51,0.043252185,False
596,53,1693,21,0.1257483,False
597,56,211,41,0.04863242,False
598,83,1664,100,0.071826324,False
599,26,7,39,0.030991439,False
600,73,1645,49,0.045508493,False
601,94,1236,97,0.026421385,False
602,6,1261,80,0.09637959,False
603,16,1523,62,0.03851236,False
604,30,972,92,0.055720784,False
605,47,1309,23,0.03717998,False
606,71,1987,40,0.04989317,False
607,34,126,6,0.04383939,False
608,98,685,38,0.035023756,False
609,14,422,46,0.013496363,False
610,53,126,6,0.03645797,False
611,19,794,55,0.029600477,False
612,34,1839,89,0.054316763,False
613,46,993,3,0.02051653,False
614,62,99,98,0.06648339,False
615,58,981,22,0.032814898,False
616,23,1172,0,0.013819308,False
617,66,896,90,0.042656895,False
618,79,528,13,0.053209215,False
619,28,1719,87,0.09497164,False
620,35,1811,23,0.041828636,False
621,98,348,24,0.15337396,False
622,10,710,30,0.04642525,False
623,66,1492,30,0.05959532,False
624,97,744,41,0.022839874,False
625,40,1056,12,0.04393446,False
626,16,30,63,0.055391412,False
627,92,1055,100,0.021787414,False
628,3,1716,79,0.024064885,False
629,6,1620,82,0.02092785,False
630,88,1104,54,0.03322825,False
631,92,1432,84,0.0316254,False
632,62,1546,58,0.045721482,False
633,6,1033,20,0.0754596,False
634,16,527,19,0.026663912,False
635,45,1158,83,0.02633552,False
636,12,1906,27,0.022349205,False
637,40,1336,18,0.053708717,False
638,37,9,5,0.02596169,False
639,25,614,62,0.112413965,False
640,89,197,44,0.028402276,False
641,100,1817,35,0.034370977,False
642,100,1335,51,0.03481894,False
643,27,354,65,0.035621114,False
644,89,1785,50,0.02899626,False
645,76,1873,51,0.058626294,False
646,1,1969,30,0.060868915,False
647,57,1946,14,0.056009926,False
648,71,1114,63,0.0347744,False
649,6,588,17,0.07711134,False
650,84,295,43,0.02353394,False
651,33,1724,14,0.015761731,False
652,11,1929,66,0.071866974,False
653,40,868,76,0.046323713,False
654,82,69,90,0.038263932,False
655,2,299,19,0.039589945,False
656,31,1604,36,0.06400397,False
657,4,399,96,0.035579257,False
658,57,1014,3,0.046645556,False
659,78,973,47,0.014517645,False
660,18,1393,41,0.029680913,False
661,37,884,17,0.02708531,False
662,77,1652,80,0.08460028,False
663,83,1084,11,0.020600608,False
664,63,756,2,0.024892768,False
665,17,1955,16,0.035619438,False
666,57,1534,25,0.036977433,False
667,61,1544,72,0.08086327,False
668,34,479,72,0.15870981,False
669,85,798,96,0.024545545,False
670,55,889,83,0.017068904,False
671,65,1967,16,0.036043625,False
672,41,1448,2,0.0973861,False
673,84,424,82,0.09273359,False
674,77,1105,87,0.031364232,False
675,94,664,63,0.03335715,False
676,80,1402,79,0.046512473,False
677,29,961,11,0.04280475,False
678,54,1228,25,0.04638929,False
679,22,957,8,0.025991518,False
680,63,753,41,0.0768698,False
681,16,337,22,0.03173828,False
682,56,1351,94,0.03831219,False
683,31,212,62,0.056460388,False
684,11,581,40,0.2232284,False
685,38,608,98,0.035020355,False
686,78,832,61,0.033687867,False
687,53,1513,55,0.029264305,False
688,75,71,25,0.1170954,False
689,77,1643,98,0.014210578,False
690,64,834,60,0.024168689,False
691,63,1814,40,0.04756421,False
692,52,1097,19,0.035428163,False
693,13,1504,67,0.091949984,False
694,16,460,86,0.02370051,False
695,13,1853,83,0.045529444,False
696,66,1833,43,0.10569344,False
697,32,1612,66,0.03742605,False
698,95,601,94,0.034492154,False
699,73,1689,17,0.025357738,False
700,8,1317,94,0.03346063,False
701,67,893,14,0.8142975,False
702,17,1133,46,0.056861185,False
703,18,1225,21,0.020507812,False
704,49,1914,48,0.03402238,False
705,37,748,63,0.030502927,False
706,12,398,80,0.041872784,False
707,8,1898,1,0.03653473,False
708,71,1641,36,0.031476155,False
709,66,1704,63,0.0629845,False
710,30,1935,62,0.041715913,False
711,15,369,59,0.03670888,False
712,86,1960,11,0.037635684,False
713,43,388,34,0.019183302,False
714,9,1756,1,0.07319172,False
715,30,1510,30,0.014946512,True
716,14,925,17,0.05502867,False
717,27,109,3,0.2046149,False
718,89,1004,11,0.045216795,False
719,87,1559,93,0.023284413,False
720,21,1050,63,0.048599318,False
721,76,658,57,0.05417942,False
722,17,111,30,0.029711021,False
723,86,158,88,0.043010347,False
724,35,632,62,0.045880254,False
725,82,1061,5,0.013233232,False
726,81,713,43,0.020979054,False
727,28,1293,99,0.057409916,False
728,11,281,0,0.17929466,False
729,16,560,92,0.013074636,False
730,4,1026,2,0.0041432036,False
731,9,897,38,0.016554823,False
732,2,1939,70,0.059579317,False
733,18,352,54,0.044134792,False
734,83,220,9,0.026862126,False
735,33,247,34,0.048828125,False
736,65,877,47,0.06544244,False
737,96,1173,78,0.093015976,False
738,20,413,40,0.03295989,False
739,25,419,100,0.03429459,False
740,42,1498,73,0.022703765,False
741,44,18,57,0.030237976,False
742,95,470,26,0.038400766,False
743,10,977,7,0.027508918,False
744,41,624,97,0.022839874,False
745,16,779,30,0.042623345,False
746,45,1740,65,0.055655494,False
747,54,379,18,0.061701443,False
748,63,705,37,0.030508788,False
749,8,1885,51,0.11584517,False
750,43,1134,86,0.02816837,False
751,92,267,35,0.040232122,False
752,75,1616,65,0.025587056,False
753,41,680,63,0.0768698,False
754,74,220,9,0.03867607,False
755,47,1891,45,0.03641544,False
756,2,1508,96,0.020845093,False
757,63,384,78,0.0734843,False
758,86,1982,10,0.048343543,False
759,53,333,16,0.015889784,False
760,39,1090,18,0.041403256,False
761,11,1808,25,0.037131853,False
762,33,382,56,0.075390846,False
763,83,1365,26,0.059427056,False
764,46,1170,26,0.022043074,False
765,25,527,19,0.040823348,False
766,74,1027,91,0.017441964,False
767,29,1078,69,0.0404449,False
768,25,1438,38,0.051070344,False
769,15,870,15,0.011187929,True
770,28,557,61,0.03516303,False
771,27,1507,94,0.044449687,False
772,66,1376,54,0.05821615,False
773,5,481,68,0.10493334,False
774,99,879,72,0.050016068,False
775,34,283,35,0.014624003,False
776,71,1143,70,0.028721565,False
777,59,258,1,0.02920926,False
778,88,260,2,0.009630412,False
779,30,1578,27,0.04098655,False
780,2,1664,100,0.05435296,False
781,76,86,49,0.25494033,False
782,54,1780,23,0.03063746,False
783,52,652,11,0.23587397,False
784,56,1704,63,0.042776894,False
785,38,812,57,0.026477722,False
786,93,899,80,0.037911825,False
787,24,1298,87,0.011596037,False
788,42,333,16,0.01133612,False
789,52,1863,18,0.10150967,False
790,1,964,63,0.050314296,False
791,21,860,49,0.035634495,False
792,51,100,5,0.025628952,False
793,57,970,78,0.09252382,False
794,55,611,19,0.029600477,False
795,33,1905,91,0.036854725,False
796,50,214,44,0.012643562,False
797,66,1120,90,0.033627655,False
798,96,669,85,0.024543116,False
799,6,141,18,0.044273674,False
800,48,241,67,0.023070967,False
801,27,806,26,0.045183826,False
802,14,1586,15,0.041309576,False
803,44,961,11,0.05315542,False
804,7,375,43,0.024813624,False
805,42,817,5,0.02952588,False
806,26,801,27,0.045183826,False
807,16,217,93,0.045529444,False
808,76,571,56,0.040160947,False
809,12,486,16,0.05527292,False
810,51,801,27,0.050503485,False
811,78,1812,53,0.025837416,False
812,57,785,38,0.026479974,False
813,80,515,100,0.038438,False
814,74,1808,25,0.038862094,False
815,51,1504,67,0.018545048,False
816,14,235,86,0.038478296,False
817,5,805,42,0.029527897,False
818,22,1037,19,0.03030689,False
819,72,81,5,0.09339328,False
820,4,1240,69,0.056595355,False
821,80,1570,46,0.029624632,False
822,11,1068,82,0.028719489,False
823,45,1830,62,0.05152466,False
824,82,1302,7,0.033687867,False
825,45,1342,35,0.029461209,False
826,50,1552,7,0.050750725,False
827,57,1471,74,0.04066536,False
828,46,608,98,0.04571888,False
829,90,81,5,0.06857527,False
830,83,147,100,0.074090146,False
831,10,842,40,0.02994482,False
832,61,198,64,0.028370779,False
833,40,1120,90,0.037135065,False
834,60,690,64,0.024168689,False
835,60,557,61,0.03767051,False
836,44,1413,19,0.12323662,False
837,13,1640,3,0.04469841,False
838,30,24,37,0.04030909,False
839,25,1975,47,0.12478715,False
840,38,1691,56,0.04728267,False
841,22,789,52,0.13985445,False
842,40,1610,69,0.016142847,False
843,22,1742,72,0.060276534,False
